mas	65421420
ó	33401240
articulo	12498114
rio	7774664
capitulo	7070009
habia	6810335
aquél	5880418
dia	5820932
tenia	5565500
tambien	5087536
asi	5067651
despues	5048168
regreso	4816421
on	4644534
publica	4563848
caribe	4548617
angel	4502113
desempeño	4052474
secretaria	3908000
titulo	3796190
dió	3758069
dias	3726083
retiro	3562372
segun	3427781
aquélla	3317907
aquéllos	3269506
numero	3025067
logro	2825294
razon	2496616
qual	2439721
ademas	2431167
est	2416944
indice	2315388
quando	2258408
decimos	2247556
demas	2219946
habian	2189697
or	2187492
considero	2165908
paraíso	2097174
infierno	2074615
ción	2015137
garcia	1931036
linea	1871347
status	1819880
area	1798550
aquéllas	1766771
algun	1702205
dejo	1646080
practica	1634488
ésto	1632376
und	1627187
pais	1618837
órden	1608918
publico	1580931
sabia	1568083
dans	1566553
acabo	1545787
it	1538669
hácia	1474827
ra	1472182
pa	1471956
ordenes	1466370
com	1425510
perez	1423868
em	1418019
was	1411024
il	1403358
ios	1392421
ése	1382044
republica	1375804
della	1366674
vió	1353090
aqui	1348689
podia	1334135
ves	1324374
ia	1284952
pié	1274816
ma	1266843
ésa	1247105
formula	1241859
quanto	1236144
desta	1230471
comun	1215810
limites	1195677
ningun	1194705
ai	1161798
hai	1154021
standard	1136762
accion	1115222
quatro	1109854
fs	1101456
jugo	1088034
corazon	1083327
lineas	1071828
debia	1066682
mo	1063232
fundo	1057215
jamas	1055154
arts	1047854
sa	1027562
llevo	1026178
limite	1018126
termino	1014966
nacion	1010425
opinion	1003814
quedo	997557
ou	995088
ei	986522
dixo	961036
patricia	952798
especifica	930950
nes	918295
quales	911092
ménos	898961
ultimo	898514
capitan	897587
sera	887004
po	883084
estan	869849
relacion	852198
comision	842787
fabrica	837050
marques	815821
guión	815233
quod	809676
fé	809347
eu	804226
ultima	801179
alli	788051
vols	782953
administracion	777087
disposicion	776297
serian	773194
inc	765706
sp	762460
cuestion	752346
guia	750745
atencion	749030
qe	734171
ántes	725018
tenian	721881
prohibe	719270
ocasion	716212
muger	710513
agora	709356
angulo	706148
dá	704784
ebro	701476
vn	701301
situacion	698981
poblacion	698112
oir	692804
obligacion	685548
pag	679548
dellos	679332
navios	676845
presento	676562
um	675534
resolucion	672516
xvm	671388
religion	670591
deste	669623
lei	668828
ba	663174
jesuítas	658577
qne	651869
im	651256
via	648127
idem	637590
lia	632460
leg	630139
consideracion	628861
ac	621517
publicas	620943
hé	619863
direccion	619157
pas	618872
habria	618058
valido	617560
decia	616352
delas	606623
cia	606261
dei	605826
jeneral	603717
tí	603082
habeis	602509
menem	597320
entro	590715
disparo	589795
we	586477
llego	584421
ps	584309
navio	584210
tra	582946
certifico	580220
mais	576354
vel	573089
division	570829
condicion	568249
guzman	565852
victor	563113
posesion	560919
may	560573
agustin	559203
ciones	557039
mos	551144
ejercito	550296
diesel	548756
instruccion	546129
part	540376
rs	538821
paises	538673
revolucion	534182
xvn	533689
eleccion	523434
gobernacion	518977
unicamente	518609
qu	518383
frio	513192
podria	512254
er	505644
lyon	505103
semi	503916
pacifico	503400
solicito	496391
bre	494663
subditos	492611
sua	490148
genero	485749
cms	485730
cibdad	479067
ejecucion	475461
